Unit 1
EN,TH,ImageURL
swing,ชิงช้า,https://img.freepik.com/free-vector/boy-playing-swing_1308-126.jpg?semt=ais_hybrid&w=740&q=80
slide,สไลเดอร์,https://example.com/slide.jpg
market,ตลาด,https://example.com/market.jpg
kitchen,ห้องครัว,https://example.com/kitchen.jpg
bedroom,ห้องนอน,https://example.com/bedroom.jpg
home,บ้าน,https://example.com/home.jpg
house,บ้าน,https://example.com/house.jpg
museum,พิพิธภัณฑ์,https://example.com/museum.jpg
shop,ร้านค้า,https://example.com/shop.jpg
bed,เตียง,https://example.com/bed.jpg
Unit 2
EN,TH,ImageURL
swing,ชิงช้า,https://example.com/swing.jpg
slide,สไลเดอร์,https://example.com/slide.jpg
market,ตลาด,https://example.com/market.jpg
kitchen,ห้องครัว,https://example.com/kitchen.jpg
bedroom,ห้องนอน,https://example.com/bedroom.jpg
home,บ้าน,https://example.com/home.jpg
house,บ้าน,https://example.com/house.jpg
museum,พิพิธภัณฑ์,https://example.com/museum.jpg
shop,ร้านค้า,https://example.com/shop.jpg
bed,เตียง,https://example.com/bed.jpg
